,precision,recall,f1-score,support
0,0.0,0.0,0.0,9.0
2,0.3333333333333333,0.125,0.18181818181818182,8.0
3,0.5404411764705882,0.9363057324840764,0.6853146853146852,157.0
4,0.0,0.0,0.0,3.0
5,1.0,0.2,0.33333333333333337,5.0
6,0.7,0.4375,0.5384615384615384,32.0
7,0.7058823529411765,0.5217391304347826,0.6,23.0
8,0.8636363636363636,0.475,0.6129032258064516,40.0
10,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
11,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
12,0.6428571428571429,0.5,0.5625000000000001,18.0
13,0.7857142857142857,0.3793103448275862,0.5116279069767441,29.0
14,0.68,0.7391304347826086,0.7083333333333334,23.0
15,1.0,0.1,0.18181818181818182,20.0
16,1.0,0.1875,0.3157894736842105,16.0
17,1.0,0.16666666666666666,0.2857142857142857,6.0
18,0.6363636363636364,0.4666666666666667,0.5384615384615385,15.0
accuracy,0.6116279069767442,0.6116279069767442,0.6116279069767442,0.6116279069767442
macro avg,0.6706597237825611,0.39384853155696753,0.443645241273552,430.0
weighted avg,0.6674999807534008,0.6116279069767442,0.5706416425557782,430.0
