,precision,recall,f1-score,support
0,0.0,0.0,0.0,5.0
2,0.25,0.25,0.25,12.0
3,0.4005681818181818,0.9276315789473685,0.5595238095238095,152.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,2.0
6,0.4,0.07692307692307693,0.12903225806451613,26.0
7,0.0,0.0,0.0,23.0
8,0.5384615384615384,0.13725490196078433,0.21875,51.0
10,0.42857142857142855,0.23076923076923078,0.3,13.0
11,0.0,0.0,0.0,14.0
12,0.0,0.0,0.0,12.0
13,0.3333333333333333,0.15384615384615385,0.21052631578947367,26.0
14,0.4,0.2857142857142857,0.3333333333333333,21.0
15,0.0,0.0,0.0,16.0
16,0.0,0.0,0.0,25.0
17,0.0,0.0,0.0,7.0
18,0.25,0.13636363636363635,0.1764705882352941,22.0
accuracy,0.3930232558139535,0.3930232558139535,0.3930232558139535,0.3930232558139535
macro avg,0.17652555777555778,0.12932369791320802,0.12809625323214274,430.0
weighted avg,0.30206045892092404,0.3930232558139535,0.285615685834882,430.0
